Prolific_ID,Option Generated,Generation,Scenario,How Good,How Probable,How Morally Acceptable,How Normal
63fb7bd7941b345c37a9c54e,Pay attention to sounds nearby,8,Scenario 5,87.0,99.0,99.0,93.0
63fb7bd7941b345c37a9c54e,Liz could try renewing the subscription on her smartphone,1,Scenario 6,97.0,100.0,94.0,100.0
63fb7bd7941b345c37a9c54e,She could reschedule her workout,2,Scenario 6,88.0,80.0,100.0,94.0
63fb7bd7941b345c37a9c54e,She could check if they will allow her to renew her subscription at the gym center,3,Scenario 6,100.0,100.0,97.0,100.0
63fb7bd7941b345c37a9c54e,She could go home and try watching some workout videos online,5,Scenario 6,100.0,84.0,86.0,98.0
63fb7bd7941b345c37a9c54e,Liz could do some running exercise as well,6,Scenario 6,92.0,96.0,98.0,91.0
63fb7bd7941b345c37a9c54e,She could ask a friend or relative to help with the subscription renewal,7,Scenario 6,100.0,96.0,99.0,97.0
63fb7bd7941b345c37a9c54e,She could always go home without working out for the day,8,Scenario 6,27.0,40.0,74.0,67.0
5c01d3c509e9c70001500b10,Ask if her mom could bring her homework to school,1,Scenario 4,100.0,100.0,91.0,92.0
5c01d3c509e9c70001500b10,explain the situation and ask teacher if she could turn in the homework next day,2,Scenario 4,98.0,100.0,50.0,93.0
5c01d3c509e9c70001500b10,email a copy of homework to teacher,3,Scenario 4,99.0,78.0,97.0,100.0
5c01d3c509e9c70001500b10,redo the workhome ,5,Scenario 4,70.0,58.0,96.0,66.0
5c01d3c509e9c70001500b10,ask for additional assignment,6,Scenario 4,79.0,73.0,50.0,68.0
5c01d3c509e9c70001500b10,ask if she could submit a photo copy of the homework from home,7,Scenario 4,89.0,92.0,97.0,97.0
5c01d3c509e9c70001500b10,stay after school to complete it,8,Scenario 4,67.0,57.0,57.0,59.0
5c01d3c509e9c70001500b10,find or create shelter to protect against cold,1,Scenario 5,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,gather leaves for insulation,2,Scenario 5,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,start a fire for warmth,3,Scenario 5,100.0,100.0,34.0,84.0
5c01d3c509e9c70001500b10,signal for help using bright clothing,4,Scenario 5,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,stay still and minimize movement,6,Scenario 5,80.0,92.0,100.0,50.0
5c01d3c509e9c70001500b10,use clothing to cover and protect ,7,Scenario 5,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,consume food and water carefully,8,Scenario 5,95.0,69.0,93.0,74.0
5c01d3c509e9c70001500b10,renew membership immediately,1,Scenario 6,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,ask the gym if she could purchase one day pass,2,Scenario 6,65.0,41.0,100.0,41.0
5c01d3c509e9c70001500b10,take a walk in the parking lot instead,3,Scenario 6,63.0,10.0,100.0,25.0
5c01d3c509e9c70001500b10,go shopping ,5,Scenario 6,50.0,34.0,80.0,71.0
5c01d3c509e9c70001500b10,spend lunch break reading,6,Scenario 6,96.0,50.0,100.0,100.0
5c01d3c509e9c70001500b10,spend lunch break catch up with friends,7,Scenario 6,87.0,65.0,100.0,100.0
5c01d3c509e9c70001500b10,find gym that offer free trials that she could use that day,8,Scenario 6,89.0,50.0,100.0,60.0
5c01d3c509e9c70001500b10,pay with debit card,1,Scenario 7,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10,call the bank if there is an error,2,Scenario 7,100.0,100.0,100.0,100.0
5c01d3c509e9c70001500b10, go to ATM and get some cash,3,Scenario 7,94.0,74.0,100.0,69.0
5c01d3c509e9c70001500b10,Ask friend if they can zelle him some money,4,Scenario 7,44.0,78.0,51.0,79.0
5c01d3c509e9c70001500b10,Ask parents if they can zelle him money,5,Scenario 7,42.0,56.0,49.0,59.0
5c01d3c509e9c70001500b10,Ask cousins if they can zelle him money,6,Scenario 7,46.0,73.0,66.0,73.0
5c01d3c509e9c70001500b10,ask his date if they can pay the bill and repay them,7,Scenario 7,34.0,42.0,50.0,30.0
5c01d3c509e9c70001500b10,use a different credit card,8,Scenario 7,69.0,96.0,100.0,100.0
5b9530390f85f600015705bf,report the money and state you don't know what happened to it,2,Scenario 3,100.0,90.0,100.0,100.0
5b9530390f85f600015705bf,overcharge the next customer for that amount,3,Scenario 3,0.0,3.0,0.0,0.0
5b9530390f85f600015705bf,steal the money from a fellow employee,4,Scenario 3,0.0,3.0,0.0,0.0
5b9530390f85f600015705bf,rob a customer for the money,5,Scenario 3,0.0,2.0,0.0,0.0
5b9530390f85f600015705bf,steal all the money and go out with a bang,6,Scenario 3,0.0,1.0,0.0,0.0
5b9530390f85f600015705bf,borrow the money from a friend and how them bring it,7,Scenario 3,50.0,50.0,74.0,10.0
5b9530390f85f600015705bf,get a quick small loan to pay for it,8,Scenario 3,50.0,10.0,50.0,0.0
5b9530390f85f600015705bf,ask her mom to bring it to the school,1,Scenario 4,100.0,100.0,100.0,100.0
5b9530390f85f600015705bf,skip classes to finish the work,2,Scenario 4,65.0,50.0,50.0,64.0
5b9530390f85f600015705bf,steal somone else's work,3,Scenario 4,0.0,5.0,0.0,4.0
5b9530390f85f600015705bf,pay someone to let you copy their work,5,Scenario 4,50.0,10.0,36.0,7.0
5b9530390f85f600015705bf,skip school,6,Scenario 4,50.0,50.0,80.0,66.0
5b9530390f85f600015705bf,explain to teacher what happened,7,Scenario 4,100.0,100.0,100.0,100.0
5b9530390f85f600015705bf,turn in something else and act like you accidentally turned in wrong paper.,8,Scenario 4,9.0,2.0,11.0,0.0
5b9530390f85f600015705bf,find a cave,1,Scenario 5,83.0,14.0,100.0,100.0
5b9530390f85f600015705bf,kill himself so his friends have a better chance,2,Scenario 5,0.0,1.0,50.0,0.0
5b9530390f85f600015705bf,"kill a friend, or all of them so he can keep the resorces for himself.",3,Scenario 5,0.0,1.0,0.0,0.0
5b9530390f85f600015705bf,go hunting,4,Scenario 5,96.0,87.0,100.0,100.0
5b9530390f85f600015705bf,keep hiking and hope you find your way back,6,Scenario 5,70.0,82.0,87.0,100.0
5b9530390f85f600015705bf,stay where they are and hope someone finds them,7,Scenario 5,66.0,82.0,83.0,94.0
5b9530390f85f600015705bf,sleep until they are found,8,Scenario 5,11.0,4.0,50.0,2.0
5b9530390f85f600015705bf,study as much as possible now and accept the grade she gets,1,Scenario 8,50.0,95.0,100.0,100.0
5b9530390f85f600015705bf,cheat by writing answers on hand or bringing note cards.,2,Scenario 8,0.0,20.0,0.0,0.0
5b9530390f85f600015705bf,play sick on exam day,3,Scenario 8,50.0,50.0,35.0,35.0
5b9530390f85f600015705bf,skip the exam,4,Scenario 8,0.0,20.0,50.0,35.0
5b9530390f85f600015705bf,fake an illness in the middle of the exam,5,Scenario 8,0.0,5.0,5.0,0.0
5b9530390f85f600015705bf,as a friend to diguise themselves as her and take it.,6,Scenario 8,0.0,2.0,0.0,0.0
5b9530390f85f600015705bf,threatened the smartest person in the class in order to make them give you the answers.,7,Scenario 8,0.0,1.0,0.0,0.0
5b9530390f85f600015705bf,take the test and just deal with results without studying.,8,Scenario 8,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,ask employees,2,Scenario 3,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,recount the money,3,Scenario 3,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,recount customer transactions,4,Scenario 3,74.0,40.0,100.0,42.0
5aa806e7777df200016088c5,look for misplaced cash,5,Scenario 3,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,check for math errors,6,Scenario 3,77.0,68.0,100.0,80.0
5aa806e7777df200016088c5,cover the loss himself,7,Scenario 3,13.0,59.0,28.0,12.0
5aa806e7777df200016088c5,check the safe,8,Scenario 3,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,explain the situation to the teacher,1,Scenario 4,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,call her mom for help,2,Scenario 4,23.0,76.0,25.0,85.0
5aa806e7777df200016088c5,show proof of mistake,3,Scenario 4,100.0,27.0,100.0,79.0
5aa806e7777df200016088c5,email the homework if possible,5,Scenario 4,100.0,100.0,25.0,79.0
5aa806e7777df200016088c5,ask for a makeup assignment,6,Scenario 4,100.0,64.0,14.0,15.0
5aa806e7777df200016088c5,submit it late,7,Scenario 4,0.0,50.0,6.0,84.0
5aa806e7777df200016088c5,complete it at school,8,Scenario 4,100.0,0.0,0.0,0.0
5aa806e7777df200016088c5,renew the membership,1,Scenario 6,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,pay for a day pass,2,Scenario 6,100.0,72.0,100.0,77.0
5aa806e7777df200016088c5,ask for a guest pass,3,Scenario 6,32.0,39.0,12.0,5.0
5aa806e7777df200016088c5,check for gym specials,5,Scenario 6,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,contact customer service,6,Scenario 6,35.0,25.0,37.0,78.0
5aa806e7777df200016088c5,check for membership extensions,7,Scenario 6,100.0,100.0,66.0,57.0
5aa806e7777df200016088c5,ask for a discount,8,Scenario 6,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,use another card,1,Scenario 7,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,pay with cash,2,Scenario 7,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,call the bank,3,Scenario 7,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,contact a friend for help,4,Scenario 7,26.0,83.0,13.0,33.0
5aa806e7777df200016088c5,use a mobile payment app,5,Scenario 7,100.0,100.0,100.0,100.0
5aa806e7777df200016088c5,borrow from his date,6,Scenario 7,0.0,24.0,0.0,0.0
5aa806e7777df200016088c5,ask to split the bill,7,Scenario 7,56.0,67.0,0.0,50.0
5aa806e7777df200016088c5,apologize and promise repayment,8,Scenario 7,0.0,0.0,0.0,0.0
